Bildnummer,Y Koordinate,X Koordinate,Legende DE **,Legende FR **,Legende IT **,Legende EN **,Map.geo.admin.ch link,Kommentar
cimg2959,195980,672960,<b>Allmendi - Wallibalm Wolfenschiessen - Pendelbahn</b> Baujahr: <b>1959</b>,<b>Allmendi - Wallibalm Wolfenschiessen - Téléphérique à va-et-vient</b> Année de construction: <b>1959</b>,<b>Allmendi - Wallibalm Wolfenschiessen - Funivia a va e vieni</b> Anno di costruzione: <b>1959</b>,<b>Allmendi - Wallibalm Wolfenschiessen - aerial tramway</b> Year of construction: <b>1959</b>,Prüflink,
cimg3096,191343,671472,<b>Grafenort - Brunniswald Wolfenschiessen - Pendelbahn</b> Baujahr: <b>1969</b>,<b>Grafenort - Brunniswald Wolfenschiessen - Téléphérique à va-et-vient</b> Année de construction: <b>1969</b>,<b>Grafenort - Brunniswald Wolfenschiessen - Funivia a va e vieni</b> Anno di costruzione: <b>1969</b>,<b>Grafenort - Brunniswald Wolfenschiessen - aerial tramway</b> Year of construction: <b>1969</b>,Prüflink,
cimg2477,238505,713763,<b>Oberholz I Goldingen - Skilift</b> Baujahr: <b>1963</b>,<b>Oberholz I Goldingen - Téléski</b> Année de construction: <b>1963</b>,<b>Oberholz I Goldingen - Skilift</b> Anno di costruzione: <b>1963</b>,<b>Oberholz I Goldingen - ski lift</b> Year of construction: <b>1963</b>,Prüflink,
cimg2428,253566,750639,<b>Vögelinsegg St. Gallen - Skilift</b> Baujahr: <b>1958</b>,<b>Vögelinsegg St. Gallen - Téléski</b> Année de construction: <b>1958</b>,<b>Vögelinsegg St. Gallen - Skilift</b> Anno di costruzione: <b>1958</b>,<b>Vögelinsegg St. Gallen - ski lift</b> Year of construction: <b>1958</b>,Prüflink,
cimg2247,222565,697988,<b>Bennau I (links) Einsiedeln - Skilift</b> Baujahr: <b>1963</b>,<b>Bennau I (links) Einsiedeln - Téléski</b> Année de construction: <b>1963</b>,<b>Bennau I (links) Einsiedeln - Skilift</b> Anno di costruzione: <b>1963</b>,<b>Bennau I (links) Einsiedeln - ski lift</b> Year of construction: <b>1963</b>,Prüflink,
cimg3811,222558,697979,<b>Bennau II (rechts) Einsiedeln - Skilift</b> Baujahr: <b>1967</b>,<b>Bennau II (rechts) Einsiedeln - Téléski</b> Année de construction: <b>1967</b>,<b>Bennau II (rechts) Einsiedeln - Skilift</b> Anno di costruzione: <b>1967</b>,<b>Bennau II (rechts) Einsiedeln - ski lift</b> Year of construction: <b>1967</b>,Prüflink,
cimg2102,203913,689711,<b>Fronalphof Morschach - Skilift</b> Baujahr: <b>1963</b>,<b>Fronalphof Morschach - Téléski</b> Année de construction: <b>1963</b>,<b>Fronalphof Morschach - Skilift</b> Anno di costruzione: <b>1963</b>,<b>Fronalphof Morschach - ski lift</b> Year of construction: <b>1963</b>,Prüflink,
cimg2204,213240,692540,<b>Herrenboden - Bärenfang Schwyz - Skilift</b> Baujahr: <b>1950</b>,<b>Herrenboden - Bärenfang Schwyz - Téléski</b> Année de construction: <b>1950</b>,<b>Herrenboden - Bärenfang Schwyz - Skilift</b> Anno di costruzione: <b>1950</b>,<b>Herrenboden - Bärenfang Schwyz - ski lift</b> Year of construction: <b>1950</b>,Prüflink,
19971002_ikss_03,144107,682538,"<b>Robiei - Cortino / ""Cavagnoli"" Bignasco - Pendelbahn</b> Baujahr: <b>1965</b>","<b>Robiei - Cortino / ""Cavagnoli"" Bignasco - Téléphérique à va-et-vient</b> Année de construction: <b>1965</b>","<b>Robiei - Cortino / ""Cavagnoli"" Bignasco - Funivia a va e vieni</b> Anno di costruzione: <b>1965</b>","<b>Robiei - Cortino / ""Cavagnoli"" Bignasco - aerial tramway</b> Year of construction: <b>1965</b>",Prüflink,
cimg6867,113508,721325,<b>Camorino - Croveggia Camorino - Einseilpendelbahn</b> Baujahr: <b>1969</b>,<b>Camorino - Croveggia Camorino - Téléphérique monocâble à va-et-vient</b> Année de construction: <b>1969</b>,<b>Camorino - Croveggia Camorino - Funivia a va e vieni</b> Anno di costruzione: <b>1969</b>,<b>Camorino - Croveggia Camorino - Mono cable aerial tramway </b> Year of construction: <b>1969</b>,Prüflink,
